year,month,transport_type,trips,id
2018,Feb,Marine,141840,2
2018,Feb,Tram,528515,2
2018,Feb,Bus,11111573,2
2018,Feb,Metro,16915232,2
2018,Mar,Marine,166561,3
2018,Mar,Tram,569003,3
2018,Mar,Bus,12361770,3
2018,Mar,Metro,18222949,3
2018,Apr,Tram,546872,4
2018,Apr,Marine,138274,4
2018,Apr,Bus,11799600,4
2018,Apr,Metro,17390887,4
2018,May,Marine,93332,5
2018,May,Tram,522763,5
2018,May,Bus,11951497,5
2018,May,Metro,17164710,5
2018,Jun,Tram,464503,6
2018,Jun,Marine,79537,6
2018,Jun,Bus,11260303,6
2018,Jun,Metro,15505842,6
2018,Jul,Marine,69846,7
2018,Jul,Tram,485000,7
2018,Jul,Bus,11618249,7
2018,Jul,Metro,16217478,7
2018,Aug,Marine,87392,8
2018,Aug,Tram,481935,8
2018,Aug,Bus,11232801,8
2018,Aug,Metro,15258334,8
2018,Sep,Marine,72151,9
2018,Sep,Tram,499368,9
2018,Sep,Bus,11404645,9
2018,Sep,Metro,15818672,9
2018,Oct,Tram,584821,10
2018,Oct,Marine,105972,10
2018,Oct,Bus,12607773,10
2018,Oct,Metro,18138020,10
2018,Nov,Marine,135525,11
2018,Nov,Tram,560897,11
2018,Nov,Bus,12130112,11
2018,Nov,Metro,17443744,11
2018,Dec,Marine,186480,12
2018,Dec,Tram,574764,12
2018,Dec,Bus,12440733,12
2018,Dec,Metro,18236745,12
2019,Jan,Tram,559294,13
2019,Jan,Marine,165285,13
2019,Jan,Bus,12352441,13
2019,Jan,Metro,17963597,13
2019,Feb,Marine,145642,14
2019,Feb,Tram,523641,14
2019,Feb,Bus,11344171,14
2019,Feb,Metro,16655042,14
2019,Mar,Marine,146219,15
2019,Mar,Tram,555096,15
2019,Mar,Bus,12547309,15
2019,Mar,Metro,18081336,15
2019,Apr,Marine,149847,16
2019,Apr,Tram,541436,16
2019,Apr,Bus,12122940,16
2019,Apr,Metro,17361296,16
2019,May,Metro,16255709,17
2019,May,Tram,491024,17
2019,May,Bus,11881515,17
2019,Jun,Marine,109324,18
2019,Jun,Tram,496983,18
2019,Jun,Bus,11495478,18
2019,Jun,Metro,15406322,18
2019,Jul,Tram,504033,19
2019,Jul,Marine,83593,19
2019,Jul,Bus,12012601,19
2019,Jul,Metro,16177689,19
2019,Aug,Marine,146248,20
2019,Aug,Tram,488661,20
2019,Aug,Bus,11370355,20
2019,Aug,Metro,15018281,20
2019,Oct,Tram,20663,22
2019,Oct,Bus,426879,22
2019,Oct,Metro,609305,22
2019,Nov,Tram,19233,23
2019,Nov,Bus,388197,23
2019,Nov,Metro,575329,23
2019,Dec,Tram,15329,24
2019,Dec,Bus,368495,24
2019,Dec,Metro,436280,24
2020,Jan,Tram,20593,25
2020,Jan,Bus,428166,25
2020,Jan,Metro,634752,25
2020,Feb,Tram,21768,26
2020,Feb,Bus,457244,26
2020,Feb,Metro,687513,26
2020,Mar,Tram,5417,27
2020,Mar,Bus,177610,27
2020,Mar,Metro,148387,27
2020,Apr,Bus,40126,28
2020,Apr,Metro,2,28
